subject	 trial	 soa	 response
gs 	175 	0.2 	0
gs 	176 	-0.05 	1
gs 	177 	0.05 	1
gs 	178 	-0.1 	1
gs 	179 	0.1 	1
gs 	180 	0.0 	1
gs 	181 	0.15 	1
gs 	182 	-0.2 	1
gs 	183 	-0.25 	0
gs 	184 	-0.15 	0
gs 	185 	0.2 	0
gs 	186 	0.25 	0
gs 	187 	-0.05 	1
gs 	188 	0.1 	1
gs 	189 	0.2 	0
gs 	190 	0.25 	0
gs 	191 	-0.15 	1
gs 	192 	-0.1 	1
gs 	193 	0.0 	1
gs 	194 	0.15 	1
gs 	195 	-0.2 	0
gs 	196 	0.05 	1
gs 	197 	-0.25 	0
gs 	198 	-0.05 	1
gs 	199 	0.05 	1
gs 	200 	-0.1 	1
gs 	201 	-0.25 	0
gs 	202 	0.25 	0
gs 	203 	0.1 	1
gs 	204 	0.2 	0
gs 	205 	-0.05 	1
gs 	206 	0.15 	1
gs 	207 	0.0 	1
gs 	208 	-0.2 	0
gs 	209 	-0.15 	0
gs 	210 	-0.05 	1
gs 	211 	0.0 	1
gs 	212 	0.1 	0
gs 	213 	-0.15 	0
gs 	214 	0.15 	0
gs 	215 	-0.1 	1
gs 	216 	-0.25 	0
gs 	217 	0.2 	0
gs 	218 	0.25 	0
gs 	219 	0.05 	1
gs 	220 	-0.2 	0
