subject	 trial	 soa	 response
sn 	202 	-0.15 	1
sn 	203 	-0.2 	1
sn 	204 	0.15 	0
sn 	205 	0.2 	0
sn 	206 	-0.05 	1
sn 	207 	0.1 	1
sn 	208 	0.0 	1
sn 	209 	0.05 	1
sn 	210 	-0.1 	1
sn 	211 	0.0 	1
sn 	212 	-0.25 	0
sn 	213 	0.05 	1
sn 	214 	-0.05 	1
sn 	215 	0.25 	0
sn 	216 	0.15 	1
sn 	217 	-0.15 	0
sn 	218 	-0.2 	0
sn 	219 	0.2 	0
sn 	220 	0.1 	1
